name,lane_num,test,coverage,performance
lane3_config,3,pfe_lane_config_test,0,0
lane4_smoke,4,pfe_smoke_test,1,0
lane4_no_dependency,4,pfe_no_dependency_test,1,0
lane4_dependency_distance,4,pfe_dependency_distance_test,1,0
lane4_dependency_chain,4,pfe_dependency_chain_test,1,0
lane4_dependency_fanout,4,pfe_dependency_fanout_test,1,0
lane4_latency_matrix,4,pfe_latency_matrix_test,1,0
lane4_sparse_lane,4,pfe_sparse_lane_test,1,0
lane4_output_wrap,4,pfe_output_wraparound_test,1,0
lane4_backpressure,4,pfe_backpressure_stress_test,1,0
lane4_fe_parallel,4,pfe_fe_parallel_completion_test,1,0
lane4_scheduler_corner,4,pfe_scheduler_corner_test,1,0
lane4_reset,4,pfe_reset_test,1,0
lane4_random,4,pfe_constrained_random_test,1,0
lane4_performance,4,pfe_lane4_performance_test,0,1
lane5_config,5,pfe_lane_config_test,0,0
lane6_config,6,pfe_lane_config_test,0,0
lane7_config,7,pfe_lane_config_test,0,0
