name,lane_num,uvm_test,coverage,performance
lane3_config,3,lane_config,0,0
lane4_smoke,4,smoke,1,0
lane4_no_dependency,4,no_dep,1,0
lane4_dependency_distance,4,dep_distance,1,0
lane4_dependency_chain,4,dep_chain,1,0
lane4_dependency_fanout,4,dep_fanout,1,0
lane4_latency_matrix,4,latency,1,0
lane4_sparse_lane,4,sparse_lane,1,0
lane4_output_wrap,4,output_wrap,1,0
lane4_backpressure,4,backpressure,1,0
lane4_parallel,4,parallel,1,0
lane4_scheduler_corner,4,scheduler,1,0
lane4_reset,4,reset,1,0
lane4_random,4,random,1,0
lane4_performance,4,performance,0,1
lane5_config,5,lane_config,0,0
lane6_config,6,lane_config,0,0
lane7_config,7,lane_config,0,0
